,Nome,In,C_1,C_2,C_3,C_4,Exit,Save,Time,Acertos,Erros
0,Default,32,32,64,0,64,1,model_1_weights,88.50987577438354,96,4
1,Default/2,16,16,32,0,32,1,model_2_weights,58.729475021362305,91,9
2,Default*2,64,64,128,0,128,1,model_3_weights,187.12212872505188,98,2
3,Minimo,1,1,2,0,2,1,model_4_weights,43.693055391311646,0,100
4,Unitario,1,1,1,0,1,1,model_5_weights,39.19390916824341,0,100
5,Default/4,8,8,16,0,16,1,model_6_weights,49.875754594802856,89,11
6,Default/8,4,4,8,0,8,1,model_7_weights,46.79154109954834,86,14
7,Minimo*2,2,2,4,0,4,1,model_8_weights,44.582324504852295,45,55
8,Default/4_SEM_C2,8,8,0,0,16,1,model_9_weights,46.73155188560486,8,92
9,Default/4_COM_C4,8,8,16,16,16,1,model_10_weights,50.21935439109802,98,2
